2021-03-19 15:41:17.384 +01:00 [Information] 03/19/2021 15:41:17 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,75001;16,666662
2021-03-19 15:41:22.393 +01:00 [Information] 03/19/2021 15:41:22 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,37501;17,1875
2021-03-19 15:41:27.384 +01:00 [Information] 03/19/2021 15:41:27 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,25001;15,624994
2021-03-19 15:41:32.418 +01:00 [Information] 03/19/2021 15:41:32 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,12501;28,125
2021-03-19 15:41:37.379 +01:00 [Information] 03/19/2021 15:41:37 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,75001;22,916668
2021-03-19 15:41:42.389 +01:00 [Information] 03/19/2021 15:41:42 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,50001;14,0625
2021-03-19 15:41:47.395 +01:00 [Information] 03/19/2021 15:41:47 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,00001;23,4375
2021-03-19 15:41:52.386 +01:00 [Information] 03/19/2021 15:41:52 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,37501;15,625
2021-03-19 15:41:57.391 +01:00 [Information] 03/19/2021 15:41:57 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,00001;15,625
2021-03-19 15:42:02.380 +01:00 [Information] 03/19/2021 15:42:02 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,50001;14,583338
2021-03-19 15:42:07.395 +01:00 [Information] 03/19/2021 15:42:07 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,12501;18,75
2021-03-19 15:42:12.384 +01:00 [Information] 03/19/2021 15:42:12 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,50001;22,916668
2021-03-19 15:42:17.389 +01:00 [Information] 03/19/2021 15:42:17 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,37501;17,1875
2021-03-19 15:42:22.385 +01:00 [Information] 03/19/2021 15:42:22 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,00001;13,541662
